Articlenumber;Type;Manufacturer;Model;Modeldescription;Languages;UnitPrice;IsDiscontinued;IsNew;IsSpecialPrice;Stock;DeliveryQuantity;DeliveryDay;EAN;IsVIPPrice;TimeStamp
703456;Accessoires;Apple;Acc. Apple Pencil white;"Apple Pencil expands the power of iPad Pro and opens up new creative possibilities. It’s sensitive to pressure and tilt so you can easily vary line weight, create subtle shading, and produce a wide range of artistic effects — just like with a conventional pencil, but with pixel-perfect precision.

Dimensions:
Length: 6.92 inches (175.7 mm) measured from tip to cap
Diameter: 0.35 inch (8.9 mm)
Weight: 0.73 ounce (20.7 grams)

Connections:
Bluetooth
Lightning connector

Other Features:
Magnetically attached cap

Compatibility:
iPad Models
iPad Pro 12.9-inch (2nd Generation)
iPad Pro 12.9-inch (1st Generation)
iPad Pro 10.5-inch
iPad Pro 9.7-inch
iPad (6th Generation)";;83.5000;False;False;False;72;0.0;;888462313711;0;25/09/2022 09:29
704418;Accessoires;Apple;Acc. Apple Pencil 2 white;"Apple Pencil set the standard for how drawing, note-taking, and marking up documents should feel — intuitive, precise, and magical. The second generation Apple Pencil takes that experience even further. Now you can pair and charge wirelessly and change tools, like a pencil to an eraser, with a simple double tap. Go ahead, make your mark.

Dimensions:
Length: 166 mm (6.53 inches) measured from tip to cap
Diameter: 8.9 mm (0.35 inches) 
Weight: 0.73 ounce (20.7 grams)
Bluetooth

Other Features:
Magnetically attached cap
Automatic pairing, wireless charging,
and magnetic storage

Compatibility:
12,9"" iPad Pro (4. Generation)
12,9"" iPad Pro (3. Generation)
11"" iPad Pro (2. Generation)
11"" iPad Pro (1. Generation)
iPad Air (4. Generation)";;113.5000;False;False;False;10;0.0;;190198893376;0;25/09/2022 09:29
704947;Handy;Samsung;Samsung Galaxy S20 FE 5G 6/128GB DS Cloud Lavender EU;"- Type: Phone 
- 2G Network: GSM 850/900/1800/1900
- 3G Network: HSDPA 850/900/1900/2100
- 4G Network: LTE 
- Sim-type: Nano-SIM
- Dimensions:159.8 x 74.5 x 8.4 mm (6.29 x 2.93 x 0.33 in) 
- Weight: 	190 g (6.70 oz)
- Displaysize: 1080 x 2400 pixels, 20:9 ratio (~407 ppi density)
- Displaytype: Super AMOLED capacitive touchscreen, 16M colors 
- Memory int.: 128GB, 6GB RAM
- Card slot: microSDXC (uses shared SIM slot)
- Keypad: full touch 
- Datatransfer: GPRS, EDGE, HSDPA, HSUPA
- Connectivity: Bluetooth, Wi-Fi, NFC 
- Features: Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer, Bixby natural language commands and dictation 
- CPU: Qualcomm SM8250 Snapdragon 865, 64bit
- Camera: 12 MP, f/1.8, 26mm (wide), 1/1.76"", 1.8µm, Dual Pixel PDAF, OIS
8 MP, f/2.0, 73mm (telephoto), 1/4.5"", 1.0µm, PDAF, OIS, 3x optical zoom
12 MP, f/2.2, 123°, 13mm (ultrawide), 1/3.0"", 1.12µm
- Oper.System: Android 10, One UI 2.5";;369.5000;False;False;False;9;0.0;;8806090709791;0;25/09/2022 09:29
704952;Handy;Samsung;Samsung Galaxy S20 FE 5G 6/128GB DS Cloud mint EU;"- Type: Phone 
- 2G Network: GSM 850/900/1800/1900
- 3G Network: HSDPA 850/900/1900/2100
- 4G Network: LTE 
- 5G Network
- Sim-type: Nano-SIM
- Dimensions:159.8 x 74.5 x 8.4 mm (6.29 x 2.93 x 0.33 in) 
- Weight: 	190 g (6.70 oz)
- Displaysize: 1080 x 2400 pixels, 20:9 ratio (~407 ppi density)
- Displaytype: Super AMOLED capacitive touchscreen, 16M colors 
- Memory int.: 128GB, 6GB RAM
- Card slot: microSDXC (uses shared SIM slot)
- Keypad: full touch 
- Datatransfer: GPRS, EDGE, HSDPA, HSUPA
- Connectivity: Bluetooth, Wi-Fi, NFC 
- Features: Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer, Bixby natural language commands and dictation 
- CPU: Qualcomm SM8250 Snapdragon 865, 64bit
- Camera: 12 MP, f/1.8, 26mm (wide), 1/1.76"", 1.8µm, Dual Pixel PDAF, OIS
8 MP, f/2.0, 73mm (telephoto), 1/4.5"", 1.0µm, PDAF, OIS, 3x optical zoom
12 MP, f/2.2, 123°, 13mm (ultrawide), 1/3.0"", 1.12µm
- Oper.System: Android 10, One UI 2.5";;369.5000;False;False;False;4;0.0;;8806090753152;0;25/09/2022 09:29
705015;Handy;Apple;Apple iPhone 12 64GB green EU;"- Type: Phone 
- 2G Network: GSM 850/900/1800/1900
- 3G Network: HSDPA 850/900/1900/2100
- 4G Network: LTE 
- 5G Network
- Sim-type: Single SIM (Nano-SIM and/or eSIM)
- Dimensions: 146.7 x 71.5 x 7.4 mm (5.78 x 2.81 x 0.29 in)
- Weight: 164 g 
- Displaysize: 6.1 inches 1170 x 2532 pixels, 19.5:9 ratio (~460 ppi density)
- Displaytype: Super Retina XDR OLED, HDR10, 625 nits (typ), 1200 nits (peak)
- Memory int.: 64GB 4GB RAM
- Card slot: no
- Keypad: full touch 
- Datatransfer: GPRS, EDGE, HSDPA, HSUPA
- Connectivity: Bluetooth, Wi-Fi, NFC 
- CPU: 	Hexa-core
- Camera: 12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120°, 13mm (ultrawide), 1/3.6""
- Oper.System: iOS 14.1";;609.5000;False;False;False;15;0.0;;194252030752;0;25/09/2022 09:29
705050;Accessoires;Apple;Acc. Apple 20W USB-C Power Adapter;20W USB-C Power Adapter;;17.7000;False;False;False;160;0.0;;194252157022;0;25/09/2022 09:29
705068;Handy;Apple;Apple iPhone 12 mini 128GB black DE;"- Type: Phone 
- 2G Network: GSM 850/900/1800/1900
- 3G Network: HSDPA 850/900/1900/2100
- 4G Network: LTE 
- 5G Network
- Sim-type: Single SIM (Nano-SIM and/or eSIM)
- Dimensions: 131.5 x 64.2 x 7.4 mm
- Weight: 135 g
- Displaysize: 5.4"" 1080 x 2340 pixels
- Displaytype: Super Retina XDR OLED, HDR10, 625 nits (typ), 1200 nits (peak)
- Memory int.: 128GB, 4GB RAM
- Card slot: no
- Keypad: full touch 
- Datatransfer: GPRS, EDGE, HSDPA, HSUPA
- Connectivity: Bluetooth, Wi-Fi, NFC 
- CPU: Hexa-core (2x3.1 GHz Firestorm + 4x1.8 GHz Icestorm)
- Camera: 12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120°, 13mm (ultrawide), 1/3.6""
- Oper.System: iOS 14.1, upgradable to iOS 14.2";;547.5000;False;False;False;28;0.0;;194252014912;0;25/09/2022 09:29
705123;Handy;Apple;Apple iPhone 12 64GB white DE;"- Type: Phone 
- 2G Network: GSM 850/900/1800/1900
- 3G Network: HSDPA 850/900/1900/2100
- 4G Network: LTE 
- 5G Network
- Sim-type: Single SIM (Nano-SIM and/or eSIM)
- Dimensions: 146.7 x 71.5 x 7.4 mm (5.78 x 2.81 x 0.29 in)
- Weight: 164 g 
- Displaysize: 6.1 inches 1170 x 2532 pixels, 19.5:9 ratio (~460 ppi density)
- Displaytype: Super Retina XDR OLED, HDR10, 625 nits (typ), 1200 nits (peak)
- Memory int.: 64GB 4GB RAM
- Card slot: no
- Keypad: full touch 
- Datatransfer: GPRS, EDGE, HSDPA, HSUPA
- Connectivity: Bluetooth, Wi-Fi, NFC 
- CPU: 	Hexa-core
- Camera: 12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120°, 13mm (ultrawide), 1/3.6""
- Oper.System: iOS 14.1";;617.5000;False;False;False;22;0.0;;194252029954;0;25/09/2022 09:29
705158;Handy;Apple;Apple iPhone 11 4G 64GB white EU;"- Type: Smartphone 
- 2G Network: GSM 850/900/1800/1900
- 3G Network: HSDPA 850/900/1700(AWS)/1900/2100
- 4G Network: LTE 
- Sim-type: Nano-SIM
- Dimensions: 150.9 x 75.7 x 8.3 mm
- Weight: 194g
- Display size: 6.1 inches, 90.3 cm2 (~79.0% screen-to-body ratio), 828 x 1792 pixels
- Display type: IPS LCD capacitive touchscreen, 16M colors
- Memory int.: 64GB, 4GB RAM 
- Card slot: No
- Keypad: full touch 
- Data transfer: GPRS, EDGE, GSM, HSDPA, LTE
- Connectivity: Bluetooth, Wi-Fi, NFC 
- Features: GPS, A-GPS, Glonass, Galileo, QZSS
- CPU: Apple A13 Bionic (7 nm+)
- Main Camera: Dual: 12 MP, f/1.8, 26mm (wide), 1/2.55"", 1.4µm, PDAF, OIS
12 MP, f/2.4, 13mm (ultrawide)
- Selfie Camera: 12 MP, f/2.2, TOF 3D camera
- Oper.System: iOS 13
- Stand-by: max. h
- Talk time: max. h
- Specials: IP68 dust/water resistant (up to 2m for 30 mins), Apple Pay (Visa, MasterCard, AMEX certified), Face ID, accelerometer, gyro, proximity, compass, barometer, Siri natural language commands and dictation, Fast battery charging 18W, Qi wireless charging, Reverse wireless charging";;469.5000;False;False;False;5;0.0;;194252097427;0;25/09/2022 09:29
705225;Handy;Apple;Apple iPhone 12 64GB blue EU;"- Type: Phone 
- 2G Network: GSM 850/900/1800/1900
- 3G Network: HSDPA 850/900/1900/2100
- 4G Network: LTE 
- 5G Network
- Sim-type: Single SIM (Nano-SIM and/or eSIM)
- Dimensions: 146.7 x 71.5 x 7.4 mm (5.78 x 2.81 x 0.29 in)
- Weight: 164 g 
- Displaysize: 6.1 inches 1170 x 2532 pixels, 19.5:9 ratio (~460 ppi density)
- Displaytype: Super Retina XDR OLED, HDR10, 625 nits (typ), 1200 nits (peak)
- Memory int.: 64GB 4GB RAM
- Card slot: no
- Keypad: full touch 
- Datatransfer: GPRS, EDGE, HSDPA, HSUPA
- Connectivity: Bluetooth, Wi-Fi, NFC 
- CPU: 	Hexa-core
- Camera: 12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120°, 13mm (ultrawide), 1/3.6""
- Oper.System: iOS 14.1";;627.5000;False;False;False;4;0.0;;194252030387;0;25/09/2022 09:29
